timestamp,cpu_total,cpu_user,cpu_system,cpu_iowait,mem_used_pct,mem_used_kib,swap_used_pct,load1,load5,load15,procs_running,procs_total,status
2026-09-20T09:19:15+00:00,2.55,1.53,1.02,0.00,34.66,1199380,0.00,0.03,0.02,0.00,1,231,OK
2026-09-20T09:19:16+00:00,6.57,2.82,3.29,0.00,34.69,1200320,0.00,0.11,0.04,0.01,1,234,OK
2026-09-20T09:19:17+00:00,7.21,2.40,4.33,0.00,34.70,1200556,0.00,0.11,0.04,0.01,1,231,OK
2026-09-20T09:19:25+00:00,1.52,0.51,1.01,0.00,34.57,1196292,0.00,0.10,0.04,0.00,1,231,OK
2026-09-20T09:19:26+00:00,6.70,1.91,4.78,0.00,34.72,1201300,0.00,0.09,0.04,0.00,2,234,OK
2026-09-20T09:19:27+00:00,7.04,2.35,4.23,0.00,34.74,1202044,0.00,0.09,0.04,0.00,1,231,OK
2026-09-20T09:19:28+00:00,8.13,2.87,4.78,0.00,34.76,1202756,0.00,0.09,0.04,0.00,1,231,OK
2026-09-20T09:19:29+00:00,4.33,0.96,3.37,0.00,34.68,1200088,0.00,0.09,0.04,0.00,1,232,OK
2026-09-20T09:19:30+00:00,5.69,2.37,2.84,0.00,34.71,1200980,0.00,0.09,0.04,0.00,1,232,OK
2026-09-20T09:19:44+00:00,4.06,1.52,2.03,0.00,34.56,1195912,0.00,0.07,0.04,0.00,1,234,WARN
2026-09-20T09:19:45+00:00,5.37,1.95,3.41,0.00,34.62,1197968,0.00,0.07,0.04,0.00,1,231,WARN
2026-09-20T09:19:57+00:00,50.75,18.59,32.16,0.00,34.64,1198656,0.00,0.05,0.03,0.00,2,235,CRIT
2026-09-20T09:19:58+00:00,52.40,19.23,32.69,0.00,34.64,1198660,0.00,0.05,0.03,0.00,2,232,CRIT
2026-09-20T09:19:59+00:00,51.71,18.05,33.66,0.00,34.64,1198656,0.00,0.05,0.03,0.00,2,232,CRIT
2026-09-20T09:20:00+00:00,52.43,17.96,33.98,0.00,34.64,1198652,0.00,0.13,0.05,0.01,2,232,CRIT
2026-09-20T09:20:01+00:00,52.91,19.42,33.50,0.00,34.64,1198648,0.00,0.13,0.05,0.01,2,234,CRIT
